x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,label
0.4630809724330902,0.667561411857605,-3.81653251224634e-07,0.42406749725341797,0.6211978793144226,-0.0045726606622338295,0.40191322565078735,0.563552975654602,-0.009429791010916233,0.39314359426498413,0.5325343608856201,-0.01567627303302288,0.39210838079452515,0.5291025638580322,-0.02073700539767742,0.4474736750125885,0.5076315999031067,0.0005744161899201572,0.4257916808128357,0.4697001576423645,-0.00824960321187973,0.41650494933128357,0.5009143948554993,-0.016308533027768135,0.42129093408584595,0.5344339609146118,-0.02033223956823349,0.4725424647331238,0.5129582285881042,-0.0024673163425177336,0.4538272023200989,0.4728466868400574,-0.00920591875910759,0.443179726600647,0.497572660446167,-0.015614194795489311,0.44427454471588135,0.5277422666549683,-0.018917324021458626,0.49203401803970337,0.5259639024734497,-0.006451257038861513,0.47352078557014465,0.48439446091651917,-0.011325161904096603,0.4630628526210785,0.5046365857124329,-0.011870387941598892,0.4639933407306671,0.5292487740516663,-0.011288834735751152,0.5058284997940063,0.5435127019882202,-0.010672551579773426,0.487913578748703,0.5036811828613281,-0.01059975940734148,0.47736138105392456,0.5168703198432922,-0.004877367056906223,0.4770790636539459,0.5374712347984314,0.00012284633703529835,c
0.4652975797653198,0.647472620010376,-2.3518116165632819e-07,0.44825005531311035,0.5826903581619263,-0.01054513081908226,0.4274081885814667,0.5224259495735168,-0.02705683372914791,0.39870738983154297,0.4978649318218231,-0.043612219393253326,0.385619580745697,0.5078199505805969,-0.05827536806464195,0.49837109446525574,0.48206037282943726,-0.03434891253709793,0.4365682899951935,0.4465286135673523,-0.05761168897151947,0.4248306453227997,0.4853686988353729,-0.06598061323165894,0.43847304582595825,0.50471031665802,-0.0703621432185173,0.5026310086250305,0.5248655676841736,-0.0426548533141613,0.4241430461406708,0.5021805167198181,-0.06660915911197662,0.4220600724220276,0.5350329279899597,-0.06627847254276276,0.4408072233200073,0.5446730852127075,-0.06485064327716827,0.49519994854927063,0.5719122290611267,-0.052010755985975266,0.4189660847187042,0.5533527731895447,-0.0728001669049263,0.42149245738983154,0.5790277123451233,-0.06281325966119766,0.4419066905975342,0.5855644941329956,-0.05449414998292923,0.48080766201019287,0.6175236701965332,-0.06194576621055603,0.4214184880256653,0.5945749282836914,-0.07606707513332367,0.4256460964679718,0.6121849417686462,-0.06845764070749283,0.4458225965499878,0.6220227479934692,-0.061118923127651215,c
0.4593082666397095,0.6409268379211426,-2.282337305814508e-07,0.44175055623054504,0.5780632495880127,-0.01323700975626707,0.42229658365249634,0.5229170918464661,-0.03113897331058979,0.39570772647857666,0.49647456407546997,-0.04813159257173538,0.3855290114879608,0.5028921365737915,-0.0632612332701683,0.4973110556602478,0.48023420572280884,-0.03695591539144516,0.4333414137363434,0.4504607915878296,-0.05982571467757225,0.41990354657173157,0.48950567841529846,-0.07063493132591248,0.43575432896614075,0.5081217885017395,-0.07789596915245056,0.5017551183700562,0.5247014760971069,-0.043552979826927185,0.42249831557273865,0.5049250721931458,-0.06480741500854492,0.41714727878570557,0.5391486287117004,-0.06508105993270874,0.43612080812454224,0.5511689782142639,-0.06506284326314926,0.49364760518074036,0.5738916993141174,-0.05118972063064575,0.417047917842865,0.5596551299095154,-0.0673723816871643,0.4176255464553833,0.58524489402771,-0.0578460618853569,0.4383097290992737,0.5934672951698303,-0.05131785571575165,0.47964948415756226,0.6214886903762817,-0.060185451060533524,0.4203275144100189,0.6055864691734314,-0.07073378562927246,0.4229101240634918,0.621818482875824,-0.06397401541471481,0.44234827160835266,0.6298041343688965,-0.057987697422504425,c
0.44372493028640747,0.6217575669288635,-2.5367961598021793e-07,0.42440515756607056,0.5625050663948059,-0.014953581616282463,0.4107578694820404,0.5107694268226624,-0.03268275409936905,0.39346030354499817,0.4787084758281708,-0.049607861787080765,0.38653767108917236,0.4781745672225952,-0.0638417899608612,0.49444520473480225,0.46792536973953247,-0.034431640058755875,0.4375630021095276,0.4291071891784668,-0.057286784052848816,0.41355809569358826,0.460074782371521,-0.0634150430560112,0.4202827215194702,0.4831070005893707,-0.06600961089134216,0.5005741119384766,0.5080704689025879,-0.04003326967358589,0.42406827211380005,0.47523343563079834,-0.06352735310792923,0.4076042175292969,0.5129046440124512,-0.060041528195142746,0.4245228171348572,0.527230978012085,-0.05468010902404785,0.49325937032699585,0.5537624955177307,-0.04760848358273506,0.41595742106437683,0.5317792892456055,-0.06810938566923141,0.40753981471061707,0.5606768131256104,-0.05652741715312004,0.427541047334671,0.571254312992096,-0.04594976454973221,0.4787113070487976,0.5988474488258362,-0.05663049593567848,0.41984784603118896,0.5763486623764038,-0.07059844583272934,0.4155162572860718,0.5915133953094482,-0.06466809660196304,0.4329828917980194,0.6025505065917969,-0.0574621856212616,c
0.44691604375839233,0.6280048489570618,-2.5504931500108796e-07,0.4266970455646515,0.5647186636924744,-0.015927745029330254,0.4111705720424652,0.5138270258903503,-0.03604796528816223,0.39260590076446533,0.4796139597892761,-0.05498586967587471,0.38725847005844116,0.48129385709762573,-0.0709754228591919,0.49430423974990845,0.4687019884586334,-0.03840116038918495,0.43642109632492065,0.4271615147590637,-0.061765506863594055,0.4124269485473633,0.4598080515861511,-0.06838854402303696,0.4201579988002777,0.482098788022995,-0.07158470153808594,0.5012977719306946,0.509876012802124,-0.04437071457505226,0.42489269375801086,0.4749985635280609,-0.06652402132749557,0.40758752822875977,0.5116138458251953,-0.0628441721200943,0.4243786633014679,0.5270794630050659,-0.05805419012904167,0.493598610162735,0.5567134022712708,-0.05219876393675804,0.41579002141952515,0.5325730443000793,-0.06995516270399094,0.4063459038734436,0.5603735446929932,-0.05782325565814972,0.4258343577384949,0.5721379518508911,-0.048106029629707336,0.47882285714149475,0.6020095348358154,-0.06186135113239288,0.4195176064968109,0.5778234004974365,-0.07377006858587265,0.41463425755500793,0.5919317603111267,-0.06766048818826675,0.4307273328304291,0.6023416519165039,-0.06080423668026924,c
0.44857728481292725,0.6351900696754456,-2.8876405622213497e-07,0.4261745512485504,0.5730568766593933,-0.01516285166144371,0.4094802737236023,0.5210866332054138,-0.035960011184215546,0.3906547427177429,0.48648083209991455,-0.05635077878832817,0.38329848647117615,0.4852074086666107,-0.07392551004886627,0.49205493927001953,0.47112613916397095,-0.03665219247341156,0.437605082988739,0.4279305934906006,-0.06346631050109863,0.41052335500717163,0.46032989025115967,-0.07239839434623718,0.4143569767475128,0.48536333441734314,-0.0762273371219635,0.4985792338848114,0.5115230679512024,-0.044191356748342514,0.42383646965026855,0.474909245967865,-0.06939762830734253,0.40330952405929565,0.5136680006980896,-0.0656391978263855,0.4178487956523895,0.530741810798645,-0.05953386798501015,0.4914911389350891,0.5587440729141235,-0.05412827804684639,0.4134614169597626,0.5350951552391052,-0.07413195818662643,0.4026576578617096,0.5653488039970398,-0.060678787529468536,0.4218723475933075,0.577507495880127,-0.04912412166595459,0.4780006408691406,0.6055359840393066,-0.06587836146354675,0.41724637150764465,0.5801580548286438,-0.07754363864660263,0.4117928743362427,0.5961852073669434,-0.06935453414916992,0.428630530834198,0.6074280738830566,-0.06076417863368988,c
0.4607353210449219,0.6576604843139648,-2.557623304255685e-07,0.4467926323413849,0.5927383899688721,-0.01321642380207777,0.42664384841918945,0.5330284833908081,-0.032445669174194336,0.395612508058548,0.5013266801834106,-0.052074018865823746,0.37688565254211426,0.5037348866462708,-0.06991881132125854,0.4952417314052582,0.4921058118343353,-0.03545179218053818,0.435884952545166,0.44362473487854004,-0.06365498155355453,0.411022812128067,0.47772112488746643,-0.07765136659145355,0.41885459423065186,0.5037479400634766,-0.08550865203142166,0.4967551529407501,0.5354933142662048,-0.04335350543260574,0.41795608401298523,0.5007187128067017,-0.06880564987659454,0.40684157609939575,0.5336640477180481,-0.07074177265167236,0.4245585799217224,0.5483604669570923,-0.07035598158836365,0.48528099060058594,0.5846717953681946,-0.05314738303422928,0.40577539801597595,0.561974287033081,-0.07243698090314865,0.4061480164527893,0.589372992515564,-0.0645429939031601,0.42948323488235474,0.6004648804664612,-0.057958949357271194,0.4684819281101227,0.6312987804412842,-0.06433821469545364,0.40789681673049927,0.6068097949028015,-0.07535547763109207,0.409819096326828,0.6235710382461548,-0.06866388767957687,0.4303741455078125,0.6344987154006958,-0.06232098117470741,c
0.4594361186027527,0.6562963724136353,-3.132409460704366e-07,0.4455815255641937,0.5917500257492065,-0.012547754682600498,0.4272289574146271,0.5352110266685486,-0.03106021322309971,0.3976772725582123,0.5085743069648743,-0.050207365304231644,0.3742581903934479,0.5045294165611267,-0.0679926797747612,0.495013952255249,0.49400797486305237,-0.037426918745040894,0.43920546770095825,0.4445056915283203,-0.0660756453871727,0.41073697805404663,0.4749794006347656,-0.07824182510375977,0.4129702150821686,0.5035446286201477,-0.08399808406829834,0.4969918131828308,0.5375269055366516,-0.04595817252993584,0.4142211973667145,0.5065968632698059,-0.07291984558105469,0.39940980076789856,0.5407970547676086,-0.07342014461755753,0.41568171977996826,0.5572388768196106,-0.07157362252473831,0.4869770407676697,0.5870338678359985,-0.05637151747941971,0.4043610692024231,0.5679724216461182,-0.07846313714981079,0.40250030159950256,0.5957346558570862,-0.06998421996831894,0.42555296421051025,0.6058932542800903,-0.06235193833708763,0.4717369079589844,0.633704662322998,-0.06780468672513962,0.4083377718925476,0.6133972406387329,-0.0814845860004425,0.409239262342453,0.6304891705513,-0.07476729899644852,0.43046438694000244,0.6397436261177063,-0.06788146495819092,c
0.4457659423351288,0.683319091796875,-4.2287101109650393e-07,0.41791439056396484,0.6442479491233826,-0.012717935256659985,0.3988788425922394,0.582889974117279,-0.020689398050308228,0.3853655457496643,0.5474516749382019,-0.029218828305602074,0.3829927444458008,0.5443654656410217,-0.034552838653326035,0.4399701654911041,0.5378468036651611,-0.008928705006837845,0.4236203134059906,0.48339322209358215,-0.030238205567002296,0.4041222035884857,0.5226078629493713,-0.040856797248125076,0.4063025712966919,0.5534210205078125,-0.04478733241558075,0.4598606824874878,0.5415672063827515,-0.011144798249006271,0.4445574879646301,0.48526325821876526,-0.03301527351140976,0.4243406653404236,0.5241135954856873,-0.03650824725627899,0.4251057207584381,0.5524540543556213,-0.033151403069496155,0.47457650303840637,0.5498350858688354,-0.01665392704308033,0.4563956558704376,0.4972982704639435,-0.033467043191194534,0.4387412667274475,0.5313110947608948,-0.027671286836266518,0.44071558117866516,0.5536049008369446,-0.018932361155748367,0.48513177037239075,0.5626283288002014,-0.023716917261481285,0.46934497356414795,0.5175676941871643,-0.030025264248251915,0.4543110728263855,0.5355307459831238,-0.023132814094424248,0.4533039927482605,0.5549660921096802,-0.01545140240341425,c
0.4552237391471863,0.6994966864585876,-9.055312233385848e-08,0.42955711483955383,0.6438151001930237,-0.011052419431507587,0.39215296506881714,0.6141589879989624,-0.025532003492116928,0.35508063435554504,0.6339144110679626,-0.037008121609687805,0.3442802429199219,0.6843981742858887,-0.050585124641656876,0.4692879915237427,0.6281283497810364,-0.04551566392183304,0.40044307708740234,0.6573600769042969,-0.06339159607887268,0.37208691239356995,0.6781008839607239,-0.07702137529850006,0.3637705445289612,0.6952768564224243,-0.0844746008515358,0.48205310106277466,0.6877565383911133,-0.04906709864735603,0.4053775370121002,0.7070778608322144,-0.05888134986162186,0.37537792325019836,0.7173177599906921,-0.06254533678293228,0.3701126277446747,0.7217701077461243,-0.0690557211637497,0.4809001088142395,0.7417886853218079,-0.0509459562599659,0.40636029839515686,0.7550084590911865,-0.06074090301990509,0.3823660612106323,0.755561351776123,-0.05574565380811691,0.3822573125362396,0.7500863075256348,-0.05399274826049805,0.4694140553474426,0.7926063537597656,-0.052873846143484116,0.41345536708831787,0.8042222261428833,-0.059594426304101944,0.3984132707118988,0.8034313917160034,-0.050805315375328064,0.4003482162952423,0.8016670346260071,-0.0460050143301487,c
