frame,landmark_id,x,y,z,label
5,12,-0.06607407331466675,-0.1915034055709839,-0.0818171732773294,rock
5,13,0.037251055240631104,-0.17475074529647827,-0.05879535234470268,rock
5,14,-0.09662511944770813,-0.1866646409034729,-0.08556409261126419,rock
5,15,-0.0915783941745758,-0.13468974828720093,-0.06821993819374939,rock
5,16,-0.053759992122650146,-0.12486755847930908,-0.05532891756791969,rock
5,17,0.02228069305419922,-0.1013563871383667,-0.06602184555430313,rock
5,18,-0.08597874641418457,-0.10619717836380005,-0.09436905465025802,rock
5,19,-0.07727432250976562,-0.07236474752426147,-0.0900985830177774,rock
5,20,-0.040400564670562744,-0.058608055114746094,-0.0815965392341127,rock
6,0,0.0,0.0,0.0,rock
6,1,-0.043935626745224,-0.07486140727996826,-0.02410510729168891,rock
6,2,-0.09477266669273376,-0.16308581829071045,-0.051268720879306784,rock
6,3,-0.13995519280433655,-0.2215251326560974,-0.0761349479398632,rock
6,4,-0.14610257744789124,-0.2500383257865906,-0.094817994042387,rock
6,5,0.036276280879974365,-0.2990972399711609,-0.05128645698641776,rock
6,6,-0.09271842241287231,-0.3451958894729614,-0.08667386870001792,rock
6,7,-0.10562789440155029,-0.26658713817596436,-0.10041981737231254,rock
6,8,-0.0724368691444397,-0.2396150827407837,-0.10963494132374763,rock
6,9,0.057935476303100586,-0.24683845043182373,-0.058787235870113363,rock
6,10,-0.09499958157539368,-0.2795054316520691,-0.09177237550829886,rock
6,11,-0.09519699215888977,-0.2087147831916809,-0.0899889374813938,rock
6,12,-0.059773027896881104,-0.19104504585266113,-0.08752708683823585,rock
6,13,0.0567207932472229,-0.174066960811615,-0.06878829549168586,rock
6,14,-0.0911930501461029,-0.18522018194198608,-0.09630436997031211,rock
6,15,-0.08499494194984436,-0.12696582078933716,-0.0779400820574665,rock
6,16,-0.045742422342300415,-0.1130799651145935,-0.06460694025372504,rock
6,17,0.04144209623336792,-0.09066712856292725,-0.08134949754094123,rock
6,18,-0.0783013105392456,-0.09931844472885132,-0.10786384890889167,rock
6,19,-0.06950905919075012,-0.06272423267364502,-0.10193040768717765,rock
6,20,-0.03105980157852173,-0.04636979103088379,-0.09297781239365577,rock
7,0,0.0,0.0,0.0,rock
7,1,-0.04926958680152893,-0.0878790020942688,-0.025572894126781875,rock
7,2,-0.09556490182876587,-0.1689850091934204,-0.06166573612452453,rock
7,3,-0.14007270336151123,-0.22176402807235718,-0.09522347523332542,rock
7,4,-0.15100476145744324,-0.24853801727294922,-0.12284683062196677,rock
7,5,0.03378617763519287,-0.3033260703086853,-0.07108886165977424,rock
7,6,-0.10120484232902527,-0.3522670865058899,-0.11417453362108176,rock
7,7,-0.11655294895172119,-0.2714810371398926,-0.12895307315946525,rock
7,8,-0.08390897512435913,-0.23991572856903076,-0.13792209698320335,rock
7,9,0.060600221157073975,-0.24776136875152588,-0.08154555781246131,rock
7,10,-0.1040356457233429,-0.28593355417251587,-0.12072427941919273,rock
7,11,-0.10536915063858032,-0.20826208591461182,-0.11510737611413902,rock
