frame,landmark_id,x,y,z,label
0,0,0.0,0.0,0.0,パー
0,1,-0.033869773149490356,-0.025590956211090088,0.021798341857277137,パー
0,2,-0.03350508213043213,-0.05930936336517334,0.034003994749866706,パー
0,3,-0.03229305148124695,-0.093319833278656,0.03759372545965789,パー
0,4,-0.025870054960250854,-0.12296825647354126,0.03964761211165069,パー
0,5,0.03415781259536743,-0.08601707220077515,0.057428154485307914,パー
0,6,0.012230932712554932,-0.11899459362030029,0.06370456828364013,パー
0,7,-0.007259964942932129,-0.10495257377624512,0.06097153885849593,パー
0,8,-0.010552823543548584,-0.07923901081085205,0.05873159630783675,パー
0,9,0.04174762964248657,-0.10531312227249146,0.044210429625593406,パー
0,10,0.003882110118865967,-0.13680499792099,0.04629104151018737,パー
0,11,-0.015499293804168701,-0.11137288808822632,0.034920807318769675,パー
0,12,-0.011843979358673096,-0.08292180299758911,0.02859181291051982,パー
0,13,0.04518681764602661,-0.1224515438079834,0.030047373237096053,パー
0,14,0.00039499998092651367,-0.14906948804855347,0.028874843703590614,パー
0,15,-0.017266273498535156,-0.11754190921783447,0.01897049448081134,パー
0,16,-0.008923888206481934,-0.09167361259460449,0.013689590008937103,パー
0,17,0.04302245378494263,-0.13812488317489624,0.017511985586963874,パー
0,18,0.0036063194274902344,-0.16010946035385132,0.016747885705910903,パー
0,19,-0.008269965648651123,-0.1344873309135437,0.015451954999946338,パー
0,20,0.0002567172050476074,-0.10768646001815796,0.01569845280238269,パー
1,0,0.0,0.0,0.0,パー
1,1,-0.044782787561416626,-0.03924000263214111,0.045440910639143794,パー
1,2,-0.05629262328147888,-0.09184867143630981,0.07014183911857685,パー
1,3,-0.06177246570587158,-0.13520634174346924,0.07929710510549626,パー
1,4,-0.06432920694351196,-0.1779998540878296,0.08600755992708287,パー
1,5,0.004300475120544434,-0.11968249082565308,0.10733594212112507,パー
1,6,-0.01476430892944336,-0.16438406705856323,0.12893907192525944,パー
1,7,-0.038565874099731445,-0.175734281539917,0.13328869107542118,パー
1,8,-0.05732107162475586,-0.17070329189300537,0.13509806457338414,パー
1,9,0.019581377506256104,-0.12931853532791138,0.08217158380327305,パー
1,10,-0.014457285404205322,-0.17877554893493652,0.10439380470094761,パー
1,11,-0.044652849435806274,-0.17580342292785645,0.09963346484479985,パー
1,12,-0.05859518051147461,-0.16156208515167236,0.09626850697574696,パー
1,13,0.0282629132270813,-0.1387169361114502,0.05522388431606373,パー
1,14,-0.015270650386810303,-0.1852635145187378,0.06969844761667332,パー
